# Assignable

"role.niceSwapper.name" : "Nice Swapper"
"role.niceSwapper.short" : "S"
"role.niceSwapper.blurb" : "No Limits on Decisiveness"
"role.niceSwapper.hint" : "Change players votes"

# Document

"role.niceSwapper.doc" : "A crewmate who can swap cast votes during emergency meetings."
"role.niceSwapper.ability.title" : "Inherent Ability [Voting Swap]"
"role.niceSwapper.ability.main" : "The Nice Swapper can swap the votes of 2 selected players during emergency meetings."

# Options

"options.role.niceSwapper.detail" : "The Nice Swapper is a crewmate who can swap cast votes during emergency meetings."
"options.role.niceSwapper.numOfSwap" : "Num of Swap"

# Game


# UI


# Stats


# Titles

"achievement.niceSwapper.common1.title" : "Hidden Treasure Children"
"achievement.niceSwapper.common1.goal" : "Swap the max votes of the player to the other player who is enemy."
"achievement.niceSwapper.common1.splitted.1" : "the "

"achievement.niceSwapper.common2.title" : "My Desire Triage"
"achievement.niceSwapper.common2.goal" : "Swap votes of oneself to the other player and exile the player."
"achievement.niceSwapper.common2.flavor" : ""I am the most useful!""

"achievement.niceSwapper.another1.title" : "Mind One's Own Business"
"achievement.niceSwapper.another1.goal" : "Swap the max votes of the non-crewmate to a crewmate and exile the crewmate."

"achievement.niceSwapper.challenge.title" : "Unreal Majority"
"achievement.niceSwapper.challenge.goal" : "Swap votes, exile the last impostor, and win."
